pre.wm.s	post.wm.s	pre.wm.v	post.wm.v
15	12	0	0
21	12	22	23
18	15	13	22
15	12	23	25
18	21	31	32
17	12	20	17
20	12	34	25
18	21	10	16
19	23	13	8
18	11	22	34
18	23	0	0
12	18	18	31
14	11	8	6
15	19	9	18
20	11	21	33
16	23	19	24
17	11	7	10
25	37	29	0
2	24	13	0
19	24	0	4
18	25	13	13
3	18	28	0
16	22	25	0
17	22	6	0
16	20	13	13
4	29	18	2
19	26	6	0
19	25	12	9
3	29	2	20
22	31	21	16
19	28	22	10
21	26	13	11
2	27	28	30
13	17	16	17
18	25	16	31
17	26	10	20
3	22	13	3
19	20	6	16
18	21	28	29
2	21	4	12
23	32	20	28
16	24	18	16
3	20	19	24
16	22	9	10
22	30	12	33
2	30	8	33
18	25	6	4
20	29	2	19
1	18	19	20
19	27	8	5
21	20	11	0
2	21	0	0
17	20	1	11
17	27	10	10
3	32	14	11
16	28	15	9
13	16	10	11
2	23	8	14
20	25	19	10
24	28	14	33
3	27	15	19
19	22	10	18
14	21	7	16
14	22	13	41
15	22	0	11
18	24	14	37
17	29	35	33
15	18	7	0
16	23	18	30
20	26	5	0
20	30	10	15
21	30	32	37
13	23	15	38
22	28	28	43
16	21	20	26
15	23	0	6
15	17	36	35
13	18	19	35
23	29	14	11
20	27	12	8
14	23	0	0
17	24	7	19
22	27	24	27
13	22	6	15
21	23	23	21
20	32	35	39
14	22	15	20
19	29	13	19
20	26	16	32
21	29	7	14
15	15	0	0
21	31	27	32
17	24	9	14
17	23	2	12
21	30	7	5
17	24	0	0
19	27	16	30
22	31	14	15
23	32	24	25
18	27	11	13
