pre.wm.s	post.wm.s	pre.wm.v	post.wm.v
18	23	27	24
15	17	15	16
20	21	25	41
15	15	13	17
19	24	17	25
18	20	21	26
16	24	7	3
21	21	17	4
19	22	17	28
20	26	18	18
13	26	16	13
14	23	12	0
15	19	10	2
15	16	20	15
17	26	7	17
20	24	37	47
11	26	26	44
18	23	6	18
23	31	8	19
16	24	16	0
14	20	16	35
21	25	6	17
19	21	12	14
20	20	29	19
19	25	26	42
22	24	22	0
19	21	37	40
18	30	22	19
17	21	12	21
19	25	0	9
26	29	19	33
19	23	1	0
20	17	0	0
16	21	15	14
18	21	4	18
25	31	13	23
19	24	25	30
23	28	30	32
14	20	15	15
19	25	18	20
19	22	26	31
11	16	29	30
22	25	22	14
14	20	5	4
14	29	9	15
17	19	20	23
17	22	9	16
19	28	10	0
22	27	16	22
18	26	23	7
20	26	14	15
15	27	17	34
19	29	32	35
18	22	21	28
14	14	0	0
20	21	19	10
13	24	12	3
13	15	16	29
17	25	9	23
18	19	8	9
21	20	7	8
19	22	16	8
19	23	22	1
16	25	32	16
19	25	7	16
20	19	15	26
15	23	13	12
18	16	18	23
21	27	15	12
20	24	15	13
17	19	27	38
24	33	37	37
18	24	16	3
18	21	11	13
21	27	17	2
21	25	18	8
19	24	16	27
14	20	15	9
18	18	23	17
12	29	22	0
23	33	25	18
16	22	24	24
19	26	14	29
18	24	10	15
24	21	16	15
19	29	8	14
19	22	9	10
15	20	9	14
16	21	4	0
17	21	8	16
16	20	25	27
24	29	18	23
23	21	6	20
19	22	12	5
17	28	12	18
18	26	11	0
18	21	23	35
10	11	12	16
20	27	45	52
16	20	17	36
