pid cond    pre.wm.s1   pre.wm.s2   post.wm.s1  post.wm.s2  pre.wm.v1   pre.wm.v2   post.wm.v1  post.wm.v2
1   des 21  31  25  35  7   1   19  4
2   des 15  26  21  29  0   0   0   0
3   des 18  27  23  31  8   2   3   0
4   des 17  31  18  39  0   0   0   0
5   des 15  26  16  29  26  15  32  20
6   des 17  28  16  28  2   4   0   7
7   des 15  27  16  34  9   11  10  11
8   des 17  27  28  30  16  10  20  13
9   des 20  27  22  39  12  11  4   12
10  des 17  27  14  30  6   6   22  7
11  des 15  24  17  25  11  12  0   13
12  des 22  29  30  29  9   3   19  13
13  des 14  26  17  29  15  14  9   14
14  des 21  31  29  30  23  12  35  16
15  des 18  26  24  32  3   8   20  8
16  des 18  30  19  41  20  12  27  16
17  des 20  32  18  33  26  16  26  16
18  des 16  28  23  25  3   3   11  7
19  des 20  28  24  29  16  8   31  11
20  des 24  33  29  29  53  37  63  38
21  des 17  26  22  26  25  21  7   27
22  des 19  28  27  31  20  17  15  19
23  des 16  21  18  30  5   3   13  12
24  des 16  27  26  29  9   10  19  10
25  des 16  25  23  31  19  14  21  21
26  des 16  25  22  26  10  12  17  14
27  des 19  28  21  33  22  21  21  26
28  des 19  28  17  34  17  13  21  18
29  des 12  24  10  25  2   2   0   14
30  des 19  27  23  28  12  3   22  10
31  des 20  29  19  34  10  7   0   9
32  des 18  24  21  24  0   4   22  8
33  des 19  32  23  32  16  15  24  16
34  des 20  24  20  22  9   6   10  5
35  des 17  23  20  22  8   13  6   14
36  des 19  31  29  34  5   6   10  10
37  des 17  27  18  28  0   0   1   0
38  des 23  30  24  29  22  23  25  32
39  des 17  34  19  40  20  21  36  27
40  des 26  29  33  34  11  11  22  15
41  des 22  25  22  29  9   9   7   8
42  des 21  26  31  30  13  5   15  9
43  des 16  25  18  26  20  15  11  13
44  des 19  32  24  37  22  18  43  16
45  des 20  28  26  33  0   0   20  0
46  des 22  33  24  37  29  24  30  27
47  des 20  27  19  32  2   3   0   3
48  des 17  28  21  28  19  14  18  14
49  des 17  19  22  24  5   3   2   6
50  des 18  22  20  23  0   3   6   2
51  des 23  28  26  30  24  15  26  18
52  des 18  26  20  24  25  17  20  20
53  des 16  27  24  29  0   5   6   11
54  des 19  25  25  25  26  21  34  21
55  des 22  35  22  35  3   1   4   4
56  des 16  26  14  34  0   0   0   0
57  des 18  23  21  26  24  17  26  19
58  des 20  31  23  34  18  9   27  9
59  des 20  28  23  30  17  17  28  19
60  des 14  25  23  26  14  18  13  18
61  des 17  25  20  34  4   8   0   10
62  des 21  32  21  34  8   3   11  10
63  des 17  22  18  32  4   2   0   6
64  des 19  26  30  29  24  19  43  27
65  des 15  22  21  25  10  7   6   7
66  des 14  23  19  24  16  13  3   22
67  des 20  23  22  27  13  8   27  10
68  des 21  31  26  38  17  10  19  10
69  des 17  23  18  30  14  9   11  9
70  des 20  24  26  31  3   4   0   0
71  des 16  29  21  28  28  20  25  21
72  des 18  26  27  34  10  8   18  13
73  des 15  24  19  26  4   7   0   6
74  des 20  23  23  23  6   7   22  5
75  des 21  31  24  36  9   11  9   22
76  des 24  32  26  42  36  26  39  29
77  des 20  25  24  22  17  14  20  15
78  des 21  30  24  34  29  25  24  33
79  des 19  26  26  35  0   0   0   3
80  des 17  29  18  27  2   4   0   2
81  des 17  24  20  30  23  20  0   17
82  des 17  28  18  30  14  12  20  11
83  des 12  22  13  26  2   0   7   5
84  des 20  26  17  28  14  11  26  17
85  des 20  27  21  32  36  24  22  25
86  des 15  24  23  32  2   0   13  7
87  des 15  27  14  35  0   0   0   0
88  des 21  28  26  39  2   0   11  4
89  des 20  31  21  35  0   0   0   0
90  des 15  24  16  31  24  17  39  21
91  des 19  25  21  34  1   1   13  1
92  des 23  33  28  40  2   4   0   9
93  des 19  24  29  31  2   5   0   10
94  des 19  31  24  35  23  16  15  23
95  des 21  31  25  30  11  6   6   6
96  des 16  27  21  29  29  23  44  29
97  des 18  22  29  31  0   0   5   0
98  des 16  24  24  23  15  13  17  13
99  des 18  28  23  26  17  16  39  20
100 des 20  27  24  27  13  8   0   14
